681,the jacksons
682,brick
683,kenny rogers
684,shaun cassidy
685,crosby stills  nash
686,andrew gold
687,heart
688,bob seger  the silver bullet band
689,the marshall tucker band
690,kansas
691,burton cummings
692,ronnie milsap
693,sanfordtownsend band
694,dean friedman
695,meco
696,the floaters
697,lord david dundas
698,supertramp
699,dr buzzards original savannah band
700,al stewart
701,heatwave
702,london symphony orchestra
703,cj  company
704,debby boone
705,exile
706,player
707,a taste of honey
708,paul davis
709,john travolta  olivia newtonjohn
710,samantha sang
711,billy joel
712,yvonne elliman
713,chic
714,chuck mangione
715,nick gilder
716,bonnie tyler
717,gerry rafferty
718,johnny mathis  deniece williams
719,peter brown
720,meat loaf
721,raydio
722,dan hill
723,walter egan
724,randy newman
725,john paul young
726,david gates
727,jay ferguson
728,toby beau
729,the trammps
730,ltd
731,dolly parton
732,evelyn champagne king
733,little river band
734,eddie money
735,lynyrd skynyrd
736,crystal gayle
737,patti smith group
738,robert palmer
739,rick james
740,bob welch
741,leblanc  carr
742,santa esmeralda
743,michael johnson
744,kenny loggins  stevie nicks
745,chris rea
746,foxy
747,joe walsh
748,alicia bridges
749,high inergy
750,odyssey
751,boston
752,eruption
753,the knack
754,village people
755,anita ward
756,david naughton
757,blondie
758,neil diamond  barbra streisand
759,amii stewart
760,suzi quatro  chris norman
761,randy vanwarmer
762,cheap trick
763,leif garrett
764,donna summer and brooklyn dreams
765,nicolette larson
766,bonnie pointer
767,toto
768,sister sledge
769,frank mills
770,the charlie daniels band
771,john stewart
772,earth wind  fire  the emotions
773,bobby caldwell
774,ace frehley
775,dire straits
776,rickie lee jones
777,mcfadden  whitehead
778,cheryl lynn
779,patrick hernandez
780,ian matthews
781,gino vannelli
782,gq
783,roger voudouris
784,ambrosia
785,eddie rabbitt
786,rex smith
787,the babys
788,instant funk
789,van halen
790,nigel olsson
791,firefall
792,lipps inc
793,rupert holmes
794,gary numan
795,smokey robinson
796,air supply
797,christopher cross
798,billy preston and syreeta
799,teri desario  kc
800,robbie dupree
801,kenny loggins
