389,Shooting,"Shooting Mixed Free Pistol, 50 metres"
390,Sailing,Sailing Women's Skiff
391,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres"
392,Triathlon,Triathlon Men's Olympic Distance
393,Sailing,Sailing Women's One Person Dinghy
394,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
395,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon
396,Rowing,Rowing Men's 17-Man Naval Rowing Boats
397,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
398,Weightlifting,Weightlifting Men's Super-Heavyweight
399,Rowing,Rowing Men's Lightweight Coxless Fours
400,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman"
401,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
402,Sailing,Sailing Mixed 5.5 metres
403,Equestrianism,"Equestrianism Mixed Jumping, Team"
404,Diving,Diving Men's Synchronized Platform
405,Snowboarding,Snowboarding Men's Halfpipe
406,Canoeing,"Canoeing Women's Kayak Singles, Slalom"
407,Weightlifting,Weightlifting Women's Flyweight
408,Swimming,Swimming Women's 100 metres Breaststroke
409,Swimming,Swimming Women's 200 metres Breaststroke
410,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman"
411,Athletics,Athletics Men's Stone Throw
412,Athletics,"Athletics Men's Javelin Throw, Freestyle"
413,Athletics,Athletics Men's Pentathlon (Ancient)
414,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
415,Swimming,Swimming Women's 100 metres Butterfly
416,Weightlifting,Weightlifting Men's Heavyweight I
417,Athletics,"Athletics Women's 3,000 metres Steeplechase"
418,Athletics,"Athletics Men's Shot Put, Both Hands"
419,Ski Jumping,"Ski Jumping Men's Large Hill, Individual"
420,Ski Jumping,"Ski Jumping Men's Large Hill, Team"
421,Shooting,Shooting Women's Trap
422,Badminton,Badminton Men's Doubles
423,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
424,Athletics,Athletics Men's 10 kilometres Walk
425,Athletics,Athletics Women's 20 kilometres Walk
426,Athletics,Athletics Women's 80 metres Hurdles
427,Sailing,Sailing Men's One Person Heavyweight Dinghy
428,Freestyle Skiing,Freestyle Skiing Women's Aerials
429,Art Competitions,"Art Competitions Mixed Painting, Paintings"
430,Tennis,"Tennis Mixed Doubles, Covered Courts"
431,Cycling,Cycling Men's Madison
432,Art Competitions,"Art Competitions Mixed Sculpturing, Statues"
433,Rugby,Rugby Men's Rugby
434,Weightlifting,Weightlifting Men's Heavyweight II
435,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
436,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
437,Cycling,Cycling Men's Individual Time Trial
438,Judo,Judo Women's Heavyweight
439,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
440,Gymnastics,"Gymnastics Men's Individual All-Around, 5 Events"
441,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
442,Biathlon,Biathlon Women's 10 kilometres Pursuit
443,Biathlon,Biathlon Women's 12.5 kilometres Mass Start
444,Biathlon,Biathlon Women's 4 x 6 kilometres Relay
445,Fencing,"Fencing Women's Sabre, Team"
446,Shooting,Shooting Men's Double Trap
447,Weightlifting,Weightlifting Men's Bantamweight
448,Taekwondo,Taekwondo Men's Heavyweight
449,Sailing,Sailing Mixed Windsurfer
450,Taekwondo,Taekwondo Women's Welterweight
451,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
452,Skeleton,Skeleton Men's Skeleton
453,Cycling,Cycling Men's 50 kilometres
454,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
455,Cycling,Cycling Men's 333 metres Time Trial
456,Cycling,Cycling Men's 20 kilometres
457,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres"
458,Sailing,Sailing Mixed Open
459,Sailing,Sailing Mixed 1-2 Ton
460,Canoeing,"Canoeing Men's Canadian Singles, Slalom"
461,Luge,Luge Men's Singles
462,Luge,Luge Mixed (Men)'s Doubles
463,Sailing,Sailing Mixed Multihull
464,Badminton,Badminton Women's Doubles
465,Speed Skating,"Speed Skating Women's 3,000 metres"
466,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit
467,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
468,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres
469,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit
470,Diving,Diving Women's Synchronized Platform
471,Athletics,Athletics Women's Triple Jump
472,Skeleton,Skeleton Women's Skeleton
473,Bobsleigh,Bobsleigh Men's Four/Five
474,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors"
475,Shooting,"Shooting Men's Dueling Pistol, 30 metres"
476,Boxing,Boxing Women's Lightweight
477,Cycling,Cycling Women's BMX
478,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
479,Fencing,"Fencing Men's Sabre, Masters, Individual"
480,Lacrosse,Lacrosse Men's Lacrosse
481,Canoeing,"Canoeing Women's Kayak Singles, 500 metres"
482,Athletics,Athletics Women's 10 kilometres Walk
483,Sailing,Sailing Mixed 12 metres
484,Judo,Judo Women's Extra-Lightweight
485,Diving,Diving Men's Synchronized Springboard
486,Rowing,"Rowing Men's Coxed Fours, Outriggers"
487,Gymnastics,Gymnastics Men's Rope Climbing
488,Sailing,Sailing Mixed Two Person Dinghy
489,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event"
490,Archery,"Archery Men's Target Archery, 28 metres, Team"
491,Archery,"Archery Men's Target Archery, 33 metres, Team"
492,Archery,"Archery Men's Target Archery, 50 metres, Team"
493,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay"
494,Freestyle Skiing,Freestyle Skiing Women's Moguls
495,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres
496,Shooting,"Shooting Men's Running Target, 10 metres"
497,Polo,Polo Men's Polo
498,Rowing,"Rowing Men's Coxed Fours, Inriggers"
499,Cycling,Cycling Men's BMX
500,Art Competitions,Art Competitions Mixed Sculpturing
501,Athletics,"Athletics Men's Cross-Country, Individual"
502,Athletics,"Athletics Men's Cross-Country, Team"
503,Sailing,Sailing Mixed 40 metres
504,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit
505,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual"
506,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres"
507,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres"
508,Gymnastics,Gymnastics Men's Club Swinging
509,Tennis,Tennis Women's Singles
510,Tennis,Tennis Mixed Doubles
511,Tennis,Tennis Women's Doubles
512,Judo,Judo Women's Middleweight
513,Judo,Judo Women's Lightweight
514,Cross Country Skiing,Cross Country Skiing Men's Team Sprint
515,Snowboarding,Snowboarding Women's Halfpipe
516,Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
517,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres
518,Athletics,"Athletics Men's 3,000 metres, Team"
519,Cross Country Skiing,Cross Country Skiing Women's Sprint
520,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
521,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
522,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
523,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
524,Shooting,"Shooting Men's Military Pistol, Team"
525,Rowing,Rowing Women's Coxed Fours
526,Weightlifting,"Weightlifting Men's Unlimited, One Hand"
527,Canoeing,"Canoeing Men's Canadian Singles, 500 metres"
528,Fencing,"Fencing Men's Foil, Masters, Individual"
529,Fencing,"Fencing Men's epee, Masters, Individual"
530,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports"
